scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.50_risk0.40_fb1_min3_ratio0.5,0.18,0.5,0.4,1.0,3.0,0.5,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.45_fbNone_minNone_ratioNone,0.18,0.5,0.45,,,,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_minNone_ratio0.4,0.18,0.5,0.45,,,0.4,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_minNone_ratio0.45,0.18,0.5,0.45,,,0.45,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_minNone_ratio0.5,0.18,0.5,0.45,,,0.5,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min2_ratioNone,0.18,0.5,0.45,,2.0,,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min2_ratio0.4,0.18,0.5,0.45,,2.0,0.4,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min2_ratio0.45,0.18,0.5,0.45,,2.0,0.45,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min2_ratio0.5,0.18,0.5,0.45,,2.0,0.5,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min3_ratioNone,0.18,0.5,0.45,,3.0,,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min3_ratio0.4,0.18,0.5,0.45,,3.0,0.4,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min3_ratio0.45,0.18,0.5,0.45,,3.0,0.45,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fbNone_min3_ratio0.5,0.18,0.5,0.45,,3.0,0.5,66,0.425,0.36923076923076925,0.002653790796666995
up0.18_down0.50_risk0.45_fb1_minNone_ratioNone,0.18,0.5,0.45,1.0,,,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_minNone_ratio0.4,0.18,0.5,0.45,1.0,,0.4,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_minNone_ratio0.45,0.18,0.5,0.45,1.0,,0.45,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_minNone_ratio0.5,0.18,0.5,0.45,1.0,,0.5,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min2_ratioNone,0.18,0.5,0.45,1.0,2.0,,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min2_ratio0.4,0.18,0.5,0.45,1.0,2.0,0.4,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min2_ratio0.45,0.18,0.5,0.45,1.0,2.0,0.45,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min2_ratio0.5,0.18,0.5,0.45,1.0,2.0,0.5,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min3_ratioNone,0.18,0.5,0.45,1.0,3.0,,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min3_ratio0.4,0.18,0.5,0.45,1.0,3.0,0.4,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min3_ratio0.45,0.18,0.5,0.45,1.0,3.0,0.45,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.50_risk0.45_fb1_min3_ratio0.5,0.18,0.5,0.45,1.0,3.0,0.5,171,1.0,0.24260355029585798,0.0008375530198225737
up0.18_down0.52_risk0.35_fbNone_minNone_ratioNone,0.18,0.52,0.35,,,,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_minNone_ratio0.4,0.18,0.52,0.35,,,0.4,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_minNone_ratio0.45,0.18,0.52,0.35,,,0.45,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_minNone_ratio0.5,0.18,0.52,0.35,,,0.5,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min2_ratioNone,0.18,0.52,0.35,,2.0,,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min2_ratio0.4,0.18,0.52,0.35,,2.0,0.4,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min2_ratio0.45,0.18,0.52,0.35,,2.0,0.45,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min2_ratio0.5,0.18,0.52,0.35,,2.0,0.5,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min3_ratioNone,0.18,0.52,0.35,,3.0,,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min3_ratio0.4,0.18,0.52,0.35,,3.0,0.4,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min3_ratio0.45,0.18,0.52,0.35,,3.0,0.45,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fbNone_min3_ratio0.5,0.18,0.52,0.35,,3.0,0.5,56,0.38333333333333336,0.36363636363636365,0.0073927950796010165
up0.18_down0.52_risk0.35_fb1_minNone_ratioNone,0.18,0.52,0.35,1.0,,,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_minNone_ratio0.4,0.18,0.52,0.35,1.0,,0.4,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_minNone_ratio0.45,0.18,0.52,0.35,1.0,,0.45,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_minNone_ratio0.5,0.18,0.52,0.35,1.0,,0.5,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min2_ratioNone,0.18,0.52,0.35,1.0,2.0,,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min2_ratio0.4,0.18,0.52,0.35,1.0,2.0,0.4,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min2_ratio0.45,0.18,0.52,0.35,1.0,2.0,0.45,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min2_ratio0.5,0.18,0.52,0.35,1.0,2.0,0.5,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min3_ratioNone,0.18,0.52,0.35,1.0,3.0,,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min3_ratio0.4,0.18,0.52,0.35,1.0,3.0,0.4,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min3_ratio0.45,0.18,0.52,0.35,1.0,3.0,0.45,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.35_fb1_min3_ratio0.5,0.18,0.52,0.35,1.0,3.0,0.5,166,1.0,0.22560975609756098,0.002323877106243387
up0.18_down0.52_risk0.40_fbNone_minNone_ratioNone,0.18,0.52,0.4,,,,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_minNone_ratio0.4,0.18,0.52,0.4,,,0.4,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_minNone_ratio0.45,0.18,0.52,0.4,,,0.45,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_minNone_ratio0.5,0.18,0.52,0.4,,,0.5,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min2_ratioNone,0.18,0.52,0.4,,2.0,,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min2_ratio0.4,0.18,0.52,0.4,,2.0,0.4,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min2_ratio0.45,0.18,0.52,0.4,,2.0,0.45,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min2_ratio0.5,0.18,0.52,0.4,,2.0,0.5,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
up0.18_down0.52_risk0.40_fbNone_min3_ratioNone,0.18,0.52,0.4,,3.0,,69,0.4583333333333333,0.38235294117647056,0.004154819337861805
